rev_dep_a_for_tab	rev_tot_a_for_tab	rev_dep_b_for_tab	rev_tot_b_for_tab
1	0.13519590332947	1	0.00267172317904849
1	0.0669054751239652	1	0.0681340464460622
1	0.14021214883574	1	0.130210149500528
1	0.123122757729896	1	0.0935391541138426
1	0.142769585017253	1	0.207953310696326
1	0.117410054419712	1	0.119400487008551
1	0.152367895830838	1	0.0972505258647389
1	0.152945829687802	1	0.156888768988844
1	0.161014341190792	1	0.146402616462454
1	0.148739307138333	1	0.17672576657118
2	0.258719753614566	2	0.199562069201989
2	0.221450474400576	2	0.290287939841799
2	0.195595367676819	2	0.199561794261765
2	0.0461160016327465	2	0.348977808221521
2	0.167385490248206	2	0.342806148922162
2	0.303958007090686	2	0.408479605464069
2	0.462620470395055	2	0.0949818566701878
2	0.218686910525936	2	0.121807838645392
2	0.26870623142724	2	0.147178018901696
2	0.208508199497747	2	0.0832211370751273
3	0.322459954445633	3	0.260695573036842
3	0.294098504717382	3	0.275014696809803
3	0.278331820506473	3	0.25214300029196
3	0.286020368189602	3	0.27911727307535
3	0.309303130254954	3	0.242319427869441
3	0.305262505082006	3	0.257184528840598
3	0.295230694139086	3	0.232907520125496
3	0.288256858500456	3	0.189067143984537
3	0.296581962230616	3	0.271652304209927
3	0.275538628803389	3	0.236458024090881
4	0.522171952781337	4	0.192760357802407
4	0.421898933251868	4	0.0893640114261909
4	0.377884600424761	4	0.419419846172354
4	0.432059130403288	4	0.112417487630143
4	0.317160314889071	4	0.287242373687999
4	0.259871787162737	4	-0.0880229448014027
4	0.21913992933864	4	0.163025964073073
4	0.169782853581015	4	0.142082085006991
4	0.253631048018783	4	0.449643725183224
4	0.327701696920111	4	0.173869501611735
