exp_dep_1_tab	exp_tot_1_tab
1	0.0886670302512838
1	0.0461180524977224
1	0.0510251528970319
1	0.0526057018432684
1	0.0332509322888433
1	0.0598878277705237
2	0.128612785505502
2	0.126674539972813
2	0.0577714813757498
2	0.0240959608782351
2	0.240259850423819
2	0.139469663592566
3	0.118075676791792
3	0.120098786789359
3	0.0764222716511495
3	0.186209859052478
3	0.167456580509779
3	0.113105329786089
4	0.12173369402178
4	0.110237022347718
4	0.182296106771356
4	0.112430789002573
4	0.125768131647638
4	0.203350911365647
