rev_dep_a_rev_tab	rev_tot_a_rev_tab	rev_dep_b_rev_tab	rev_tot_b_rev_tab
4	0.522171952781337	4	0.192760357802407
4	0.421898933251868	4	0.0893640114261909
4	0.377884600424761	4	0.419419846172354
4	0.432059130403288	4	0.112417487630143
4	0.317160314889071	4	0.287242373687999
4	0.259871787162737	4	-0.0880229448014027
4	0.21913992933864	4	0.163025964073073
4	0.169782853581015	4	0.142082085006991
4	0.253631048018783	4	0.449643725183224
4	0.327701696920111	4	0.173869501611735
5	0.274978882196134	5	0.207229921093166
5	0.203786920729204	5	0.45700525058234
5	0.262836668149771	5	0.0528721139002783
5	0.271086178911552	5	0.288916469223629
5	0.267443428806566	5	0.276111995116081
5	0.26035680563318	5	0.170976211423578
5	0.212900914279207	5	0.254887441504176
5	0.331899137442912	5	0.180822856062276
5	0.367067033744141	5	0.236651702976098
5	0.361602639074553	5	0.144898944960681
6	0.263913986568851	6	0.273827447280263
6	0.265910023716014	6	0.157786261044124
6	0.314927276592723	6	0.160897585370125
6	0.236778062593562	6	0.258527481348685
6	0.329436858589032	6	0.24813246489853
6	0.236156799799566	6	0.256328936190769
6	0.234887293036779	6	0.329432073018876
6	0.321969593278591	6	0.187036710602381
6	0.30308210351437	6	0.143888574072223
6	0.267354899332154	6	0.238530903213648
7	0.234472333076794	7	0.241924098664614
7	0.251701030429309	7	0.265974528212634
7	0.224649510465515	7	0.172829392272787
7	0.309974582702102	7	0.16897765300518
7	0.27654664909065	7	0.334018306135264
7	0.14577344327005	7	0.161266217015068
7	0.322782332995506	7	0.138938539905982
7	0.229758526575614	7	0.247109184656362
7	0.13532658753272	7	0.160287146806633
7	0.210276216845061	7	0.300749094310264
8	0.144738777404684	8	0.0951707623667216
8	0.181117853047823	8	0.0949843318740089
8	0.116726011198522	8	0.184538662783034
8	0.155274541489355	8	0.16259426012941
8	0.197144911455507	8	0.171891876824427
8	0.158226436464192	8	0.12998807332419
8	0.187227284480657	8	0.114071816440532
8	0.195299194375636	8	0.12150685001705
8	0.197309838720522	8	0.111077428938079
8	0.150834278490931	8	0.15067078270126
